#
#
#
POINT
0x0000 = label_unkn, Unknown label
0x6414 = poi_drinking_water, Drink water
0x6415 = town_ghost, Ghost Town
0x6416 = poi_subdivision, Subdivision

0x6500 = poi_water_feature, Water Feature
0x6501 = poi_water_feature, Arroyo
0x6502 = poi_water_feature, Sand Bar
0x6503 = poi_bay, Bay
0x6504 = poi_bend, Bend
0x6505 = poi_water_feature, Canal
0x6506 = poi_water_feature, Channel
0x6507 = poi_cove, Cove
0x6508 = poi_water_feature, Falls
0x6509 = poi_water_feature, Geyser
0x650A = poi_water_feature, Glacier
0x650B = poi_marine, Harbour
0x650C = poi_island, Island
0x650D = poi_water_feature, Lake
0x650E = poi_water_feature, Rapids
0x650F = poi_water_feature, Reservoir
0x6510 = poi_water_feature, Sea
0x6511 = poi_water_feature, Spring
0x6512 = poi_water_feature, Stream
0x6513 = poi_water_feature, Swamp

0x6600 = poi_land_feature, Land Feature
0x6601 = poi_land_feature, Arch
0x6602 = poi_land_feature, Area
0x6603 = poi_land_feature, Basin
0x6604 = poi_land_feature, Beach
0x6605 = poi_land_feature, Bench
0x6606 = poi_land_feature, Cape
0x6607 = poi_land_feature, Cliff
0x6608 = poi_land_feature, Crater
0x6609 = poi_land_feature, Flat
0x660A = poi_land_feature, Forest
0x660B = poi_land_feature, Gap
0x660C = poi_land_feature, Gut
0x660D = poi_land_feature, Isthmus
0x660E = poi_land_feature, Lava
0x660F = poi_land_feature, Pillar
0x6610 = poi_land_feature, Plain
0x6611 = poi_land_feature, Range
0x6612 = poi_land_feature, Reserve
0x6613 = poi_land_feature, Ridge
0x6614 = poi_land_feature, Rock
0x6615 = poi_land_feature, Slope
0x6616 = poi_land_feature, Summit
0x6617 = poi_land_feature, Valley
0x6618 = poi_land_feature, Woods

# This are dublicated to 0x1700, 0x1800, 0x1900, 0x1A00, 0x1B00
# fix them if you need them
0x1600 = poi_marine_type, Beakon
0x1601 = poi_marine_type, Fog Horn
0x1602 = poi_marine_type, Radio Beacon
0x1603 = poi_marine_type, Racon
0x1604 = poi_marine_type, Day Beacon, red triangle
0x1605 = poi_marine_type, Day Beacon, green square
0x1606 = poi_marine_type, Day Beacon, white diamond
0x1607 = poi_marine_type, unlit Navaid, white
0x1608 = poi_marine_type, unlit Navaid, red
0x1609 = poi_marine_type, unlit Navaid, green
0x160a = poi_marine_type, unlit Navaid, black
0x160b = poi_marine_type, unlit Navaid, yellow or amber
0x160c = poi_marine_type, unlit Navaid, orange
0x160d = poi_marine_type, unlit Navaid, multi colored
0x160e = poi_marine_type, Navaid, unknown
0x160f = poi_marine_type, lighted Navaid, white
0x1610 = poi_marine_type, lighted Navaid, red
0x1611 = poi_marine_type, lighted Navaid, green
0x1612 = poi_marine_type, lighted Navaid, yellow or amber
0x1613 = poi_marine_type, lighted Navaid, orange
0x1614 = poi_marine_type, lighted Navaid, violet
0x1615 = poi_marine_type, lighted Navaid, blue
0x1616 = poi_marine_type, lighted Navaid, multi colored

#
# Street's are routable by:
# ALL - by all
# W	pedestrian
# B	bycycle
# M	motorcycle
# C	car
# T	truck
# L	largetruck
# this is probably, encoded into the map 

POLYLINE
0x00 = ALL, street_1_land, Road
0x01 = MCTL, highway_land, Major HWY thick
0x02 = MCTL, street_4_land, Principal HWY-thick
0x03 = MCTL, street_2_land, Principal HWY-medium
0x04 = MCTL, street_3_city, Arterial Road-medium
0x05 = MCTL, street_4_city, Arterial Road-thick
0x06 = MCTL, street_2_city, Road-thin
0x07 = MCTL, street_1_city, Alley-thick
0x08 = MCTL, ramp, Ramp
0x09 = MCTL, ramp, Ramp highspeed
0x0a = MCTL, street_0, Unpaved Road-thin
0x0b = MCTL, ramp, Major HWY Connector-thick
0x0c = MCTL, roundabout, Roundabout
0x0d = MCTL, street_unkn, Reservation/Zapovednik?
0x0e = MCTL, street_unkn, Unknown Element 0x0e
0x0f = NONE, street_unkn, Unknown Element 0x0f
0x10 = NONE, street_unkn, Unknown Element 0x10
0x11 = NONE, street_unkn, Unknown Element 0x11
0x12 = NONE, street_unkn, Unknown Element 0x12
0x13 = NONE, street_unkn, Unknown Element 0x13 
0x14 = NONE, rail, Railroad
0x15 = NONE, water_line, Shoreline
0x16 = W, street_nopass, Trail
0x18 = NONE, water_line, Stream-thin
0x19 = NONE, time_zone, Time-Zone
0x1a = ALL, ferry, Ferry
0x1b = ALL, ferry, Ferry
0x1c = NONE, border_country, Political Boundary
0x1d = NONE, border_country, County Boundary
0x1e = NONE, border_country, Intl. Boundary
0x1f = NONE, water_line, River
0x20 = NONE, height_line_1, Land Contour (thin) Height in feet
0x21 = NONE, height_line_2, Land Contour (medium) Height in feet
0x22 = NONE, height_line_3, Land Contour (thick) Height in feet
0x23 = NONE, depth_line_1, Depth Contour (thin) Depth in feet
0x24 = NONE, depth_line_2, Depth Contour (medium) Depth in feet
0x25 = NONE, depth_line_3, Depth Contour (thick) Depth in feet
0x26 = NONE, water_line, Intermittent River
0x27 = NONE, street_nopass, Airport Runway
0x28 = NONE, pipeline, Pipeline
0x29 = NONE, powerline, Powerline
0x2a = NONE, marine_boundary, Marine Boundary (no line)
0x2b = NONE, marine_hazard, Marine Hazard (no line)

POLYGONE
0x01 = poly_town, City (>200k)
0x02 = poly_town, City (<200k)
0x03 = poly_town, Village
0x04 = poly_military_zone, Military
0x05 = poly_car_parking, Parking Lot
0x06 = poly_car_parking, Parking Garage
0x07 = poly_airport, Airport
0x08 = poly_commercial_center, Shopping Center
0x09 = poly_marine, Marina
0x0a = poly_university, University/College
0x0b = poly_hospital, Hospital
0x0c = poly_industry, Industrial
0x0d = area, Reservation
0x0e = poly_airport, Airport Runway
0x13 = area_unspecified, Man made area
0x14 = poly_park, National park
0x15 = poly_park, National park
0x16 = poly_park, National park
0x17 = poly_park, City Park
0x18 = poly_golf_course, Golf
0x19 = poly_sport, Sport
0x1a = poly_cemetery, Cemetery
0x1e = poly_park, State Park
0x1f = poly_park, State Park
0x20 = poly_park, State Park
0x28 = poly_water, Ocean
0x29 = poly_water, Water Reservour
0x32 = poly_water, Sea
0x3b = poly_water, Water Reservour
0x3c = poly_water, Lake (250-600 km2)
0x3d = poly_water, Lake (77-250 km2)
0x3e = poly_water, Lake (25-77 km2)
0x3f = poly_water, Lake (11-25 km2)
0x40 = poly_water, Lake (0.25-11 km2)
0x41 = poly_water, Lake (<0.25 km2)
0x42 = poly_water, Lake (>3.3k km2)
0x43 = poly_water, Lake (1.1-3.3k km2)
0x44 = poly_water, Lake (0.6-1.1k km2)
0x45 = poly_water, Water Reservour
0x46 = poly_water, River (>1km)
0x47 = poly_water, River (200m-1km)
0x48 = poly_water, River (40-200m)
0x49 = poly_water, River (<40m)
0x4a = area, Definition Area
0x4b = area, Background
0x4c = poly_water, Intermittent River/Lake
0x4d = poly_glacier, Glaciers
0x4e = plantation, Orchard or plantation
0x4f = poly_scrub, Scrub
0x50 = poly_wood, Woods
0x51 = poly_wetland, Wetland
0x52 = tundra, Tundra
0x53 = poly_flats, Flats
